id,label,url,brand,name,skin_type,price ,img,spf,concern,concern2,concern3,key_ingredient,fomula
skincare_526,cleanser,https://www.myntra.com/face-wash-and-cleanser/beardo/beardo-men-set-of-de-tan-face-wash--face-gel/13538724/buy,BEARDO,Men Set of De-Tan Face Wash & Face Gel,All," Rs. 1,915.00 ","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/13538724/2021/2/1/06e876f9-a7a8-4925-b4a7-b32a9260f9561612178427834BEARDOMenSetofDe-TanFaceWashFaceGel1.jpg",,Tan Removal,Deep Nourishment,,Aloe Vera,Cream
skincare_527,cleanser,https://www.myntra.com/face-wash-and-cleanser/loreal/loreal-paris-set-of-perfect-milky-sustainable-facial-foam--revitalift-crystal-face-serum/14464488/buy,LOreal,Paris Set Of Perfect Milky Sustainable Facial Foam & Revitalift Crystal Face Serum,All," Rs. 2,235.00 ","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/14464488/2021/6/11/e35fef90-c32f-4b8d-a2b9-eda07adb62541623405519265LOrealParisSetOfPerfectMilkySustainableFacialFoamRevitaliftC1.jpg",,Uneven Skin Tone,Dark Spots,Pore Care,Vitamin C,Cream
skincare_528,cleanser,https://www.myntra.com/face-wash-and-cleanser/organic-harvest/organic-harvest-vitamin-c-face-cleanser-100-ml/14719806/buy,Organic Harvest,Vitamin C Face Cleanser 100 ml,All," Rs. 2,225.00 ","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/productimage/2021/7/2/7fae09ee-fc94-427e-8957-f448c3d24b621625205600550-1.jpg",,Pore Care,,,Vitamin C,Gel
skincare_529,cleanser,https://www.myntra.com/face-wash-and-cleanser/havintha/havintha-natural-aloe-vera-powder-for-hair--face/15386566/buy,Havintha,Natural Aloe Vera Powder for Hair & Face,Dry," Rs. 1,495.00 ","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/15386566/2021/9/7/a108704f-c14d-4327-a578-2ec4ef3be1851630998492784HavinthaNaturalAloeveraPowderforHairGrowthFaceWash1.jpg",,Finelines and Wrinkles,Skin Inflammation,Acne and Blemishes,Aloe Vera,Cream
skincare_530,cleanser,https://www.myntra.com/face-wash-and-cleanser/himalaya/himalaya-set-of-2-face-wash--face-scrub-set/7094582/buy,Himalaya,Set of 2 Face Wash & Face Scrub Set,Normal," Rs. 1,330.00 ","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/7094582/2020/4/20/9a0ab720-07fb-485a-a1bb-1f92a6d9bbaa1587386806459-Himalaya-Unisex-Face-Wash--Face-Scrub-Set-3341587386805834-1.jpg",,Acne and Blemishes,General Care,Pigmentation,Neem,Gel
skincare_531,cleanser,https://www.myntra.com/face-wash-and-cleanser/taavi/taavi-unisex-natreal-purifying-apple-cider-vinegar-face-wash-210-ml/13454650/buy,Taavi,Unisex Natreal Purifying Apple Cider Vinegar Face Wash 210 ml,All, Rs. 745.00 ,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/13454650/2021/2/2/0ed8649b-3f8b-45e2-8ca5-b6dbe8f6f0f81612243823073-Natural-Face-wash-Apple-Cider-Vinegar-2341612243820740-1.jpg",,General Care,,,,Gel
skincare_532,cleanser,https://www.myntra.com/face-wash-and-cleanser/the-man-company/the-man-company-charcoal-ylang-ylang--argan-face-wash-100-ml/2111929/buy,THE MAN COMPANY,Charcoal Ylang-Ylang & Argan Face Wash 100 ml,All," Rs. 1,235.00 ","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2111929/2020/9/6/19b2d6bb-d8a9-471b-a762-707c00c8d1971599372828471-THE-MAN-COMPANY-Charcoal-Ylang-Ylang--Argan-Face-Wash-100-ml-1.jpg",,Acne and Blemishes,Uneven Skin Tone,Pore Care,Argan Oil,Cream
skincare_533,mask-and-peel,https://www.myntra.com/mask-and-peel/garnier/garnier-women-hydra-bomb-green-tea-serum-mask/8119103/buy,Garnier,Women Hydra Bomb Green Tea Serum Mask,All, Rs. 290.00 ,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/8119103/2021/3/2/b6108ca7-3f1a-4a7e-9544-80920dd0ec211614669308949-Garnier-Women-Hydra-Bomb-Green-Tea-Serum-Mask-42016146693081-1.jpg",,Dull Skin,Hydration,Daily Use,Green Tea,
skincare_534,mask-and-peel,https://www.myntra.com/mask-and-peel/lakme/lakme-blush--glow-lemon-sheet-mask-20-ml/11523460/buy,Lakme,Blush & Glow Lemon Sheet Mask 20 ml,All, Rs. 400.00 ,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/11523460/2021/3/8/a1f31c27-44b0-4703-a1b1-347a1209597b1615190770567-Lakme-Women-Mask-and-Peel-7191615190770216-1.jpg",,Dryness,Daily Use,,,
skincare_535,mask-and-peel,https://www.myntra.com/mask-and-peel/biotique/biotique-bio-fruit-whitening-depigmentation--tan-removal-sustainable-face-pack-100-g/8974027/buy,Biotique,"Bio Fruit Whitening, Depigmentation & Tan Removal Sustainable Face Pack 100 g",All, Rs. 410.00 ,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/8974027/2021/2/10/cf76ba6a-d5fb-450b-8890-fd90d1cf7d271612953804975BiotiqueBioFruitWhiteningDepigmentationTanRemovalSustainable1.jpg",,Pigmentation,Uneven Skin Tone,Pore Care,Honey,
