id,label,url,,shade,concern,finish,coverage,formulation,rating,brand,name, price ,skin type,skin tone,img,
makeup_21,primer,https://www.myntra.com/foundation-and-primer/mac/mac-prep--prime-fix-100-ml/9590429/buy,https://www.myntra.com/foundation-and-primer/mac/mac-prep--prime-fix-100-ml/9590429/buy,Translucent,Acne or Blemishes,matte,medium ,liquid,4.6,m.a.c,prep + prime fix+ 100 ml," Rs. 9,750.00 ",all,light to medium,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/9590429/2020/4/15/9866d18d-2d1c-48af-b94c-ffe4e4b573fa1586933585962MACPrepPrimeFix100ml1.jpg",
makeup_22,primer,https://www.myntra.com/foundation-and-primer/faces-canada/faces-canada-ultime-pro-primerizer-primer--moisturizer---30-g/10699656/buy,https://www.myntra.com/foundation-and-primer/faces-canada/faces-canada-ultime-pro-primerizer-primer--moisturizer---30-g/10699656/buy,,Pore Minimizing and Blurring,natural,low,liquid,4.5,faces canada,ultime pro primerizer primer + moisturizer - 30 g," Rs. 2,995.00 ",all,light to medium,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/10699656/2020/7/22/bac3bd42-1fb6-43d2-8b43-6520012abd6a1595425943318FacesCanadaUltimeProPrimerizerPrimerMoisturizer30g1.jpg",
makeup_23,primer,https://www.myntra.com/foundation-and-primer/sugar/sugar-grand-finale-highlighting-setting-mist/12468508/buy,https://www.myntra.com/foundation-and-primer/sugar/sugar-grand-finale-highlighting-setting-mist/12468508/buy,Transparent,Dryness,luminous,full,liquid,4.3,sugar,grand finale highlighting setting mist," Rs. 3,495.00 ",all,fair to light,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/12468508/2021/8/13/67c81971-7a5a-4ca9-b32a-878d2d0bc4121628846581514SUGARGrandFinaleHighlightingSettingMist1.jpg",
makeup_24,primer,https://www.myntra.com/foundation-and-primer/mac/mac-prep--prime-fix-shimmer---pinklite-100ml/9589269/buy,https://www.myntra.com/foundation-and-primer/mac/mac-prep--prime-fix-shimmer---pinklite-100ml/9589269/buy,PINKLITE,,luminous,medium ,liquid,4.5,m.a.c,prep + prime fix+ shimmer - pinklite 100ml," Rs. 9,500.00 ",normal,light to medium,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/9589269/2020/4/15/62acfea1-2c4f-4ed6-9f33-517ba548d9e61586933578051MACPREPPRIMEFIXSHIMMER-Pinklite100ml1.jpg",
makeup_25,primer,https://www.myntra.com/foundation-and-primer/pac/pac-studio-finish-oil-primer-20-ml/9794163/buy,https://www.myntra.com/foundation-and-primer/pac/pac-studio-finish-oil-primer-20-ml/9794163/buy,Clear,Pores-Blackheads-Whiteheads,dewy,low,liquid,4.5,pac,studio finish oil primer 20 ml," Rs. 3,975.00 ",dry,fair to light,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/9794163/2019/10/9/114ff9e2-4c11-4261-a30c-19ed952de2161570618267670-PAC-Unisex-Foundation-and-Primer-7421570618267055-1.jpg",
makeup_26,primer,https://www.myntra.com/foundation-and-primer/xx-revolution/xx-revolution-glow-fixx-fixing-mist-100-ml/15092582/buy,https://www.myntra.com/foundation-and-primer/xx-revolution/xx-revolution-glow-fixx-fixing-mist-100-ml/15092582/buy,Glow fixx,Dryness,natural,medium ,spray,3.8,xx revolution,glow fixx fixing mist-100 ml," Rs. 5,310.00 ",normal,light to medium,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/15092582/2021/8/18/433f6e31-be78-4545-8752-a8be7b94c4e21629282165369-XX-Revolution-Women-Foundation-and-Primer-9831629282165270-1.jpg",
makeup_27,primer,https://www.myntra.com/foundation-and-primer/mac/mac-prep--prime-fix-shimmer---goldlite-100ml/9590503/buy,https://www.myntra.com/foundation-and-primer/mac/mac-prep--prime-fix-shimmer---goldlite-100ml/9590503/buy,Goldlite,,luminous,medium ,liquid,3.9,m.a.c,prep + prime fix+ shimmer - goldlite 100ml," Rs. 9,750.00 ",all,light to medium,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/9590503/2020/5/8/b83f3daf-f2ec-45b8-ac8b-e39566a7f56e1588914511394-MAC-Prep-Prime-Fix-Shimmer---Goldlite-100-ml-154158891451072-1.jpg",
makeup_28,primer,https://www.myntra.com/foundation-and-primer/smashbox/smashbox-the-original-photo-finish-smooth--blur-primer-30-ml/12278900/buy,https://www.myntra.com/foundation-and-primer/smashbox/smashbox-the-original-photo-finish-smooth--blur-primer-30-ml/12278900/buy,Transparent,Pore Minimizing and Blurring,matte,medium ,cream,4.6,smashbox,the original photo finish smooth blur primer 30 ml," Rs. 15,250.00 ",normal,light to medium,"https://assets.myntassets.com/h_1136,q_90,w_852/v1/assets/images/12278900/2020/9/15/efca1be9-7d72-483d-a354-9e4b14c3031e1600175308024TheOriginalPhotoFinishSmoothBlurPrimer1.jpg",
makeup_29,primer,https://www.myntra.com/foundation-and-primer/xx-revolution/xx-revolution-hydra-fixx-fixing-mist-100-ml/15092600/buy,https://www.myntra.com/foundation-and-primer/xx-revolution/xx-revolution-hydra-fixx-fixing-mist-100-ml/15092600/buy,Hydra fixx,Dryness,natural,full,spray,3.7,xx revolution,hydra fixx fixing mist 100 ml," Rs. 4,375.00 ",normal,light to medium,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/15092600/2021/8/18/41a9c280-dcd8-4bd3-b6e1-8635ae52e1a71629282319133-XX-Revolution-Women-Foundation-and-Primer-9221629282319023-1.jpg",
makeup_30,primer,https://www.myntra.com/foundation-and-primer/bobbi-brown/bobbi-brown-set-of-3-skin-care-kit/15456836/buy,https://www.myntra.com/foundation-and-primer/bobbi-brown/bobbi-brown-set-of-3-skin-care-kit/15456836/buy,Set,Dryness,luminous,medium ,cream,4.5,bobbi brown,set of 3 skin care kit," Rs. 4,950.00 ",normal,fair to light,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/15456836/2021/9/14/544c7974-9d2e-4c66-b79f-5499c49f0def1631600706815-Bobbi-Brown-Women-Foundation-and-Primer-1901631600706667-1.jpg",
